VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,PULocationID,DOLocationID
2,01/01/2016 06:00:24 AM,01/01/2016 06:09:01 AM,N,1,-73.92828369140625,40.755966186523438,-73.915245056152344,40.746486663818359,1,1.61,8,0.5,0.5,0,0,,0.3,9.3,2,1,,
2,01/01/2016 06:00:26 AM,01/01/2016 06:09:05 AM,N,1,-73.963142395019531,40.716537475585938,-73.940673828125,40.726051330566406,1,1.46,7.5,0,0.5,0,0,,0.3,8.3,2,1,,
2,01/01/2016 06:00:14 AM,01/01/2016 06:09:17 AM,N,1,-73.927955627441406,40.866142272949219,-73.943679809570313,40.835174560546875,1,2.99,11,0.5,0.5,0,0,,0.3,12.3,2,1,,
2,01/01/2016 06:04:45 AM,01/01/2016 06:09:20 AM,N,1,-73.871383666992188,40.749027252197266,-73.883148193359375,40.747730255126953,6,0.61,5,0,0.5,0,0,,0.3,5.8,2,1,,
2,01/01/2016 06:07:11 AM,01/01/2016 06:09:28 AM,N,1,-73.93316650390625,40.752498626708984,-73.934913635253906,40.750785827636719,1,0.27,3.5,0,0.5,0,0,,0.3,4.3,2,1,,
1,01/01/2016 06:04:11 AM,01/01/2016 06:09:28 AM,N,1,-73.919876098632812,40.662250518798828,-73.931793212890625,40.669174194335938,1,1,6,0,0.5,0,0,,0.3,6.8,2,1,,
1,01/01/2016 06:02:13 AM,01/01/2016 06:09:29 AM,N,5,-73.935272216796875,40.843841552734375,-73.929389953613281,40.856414794921875,4,1.2,0,0,0,0,0,,0,0,4,2,,
2,01/01/2016 06:03:40 AM,01/01/2016 06:09:30 AM,N,1,-73.957527160644531,40.729778289794922,-73.937660217285156,40.724372863769531,1,1.57,7,0,0.5,0,0,,0.3,7.8,2,1,,
2,01/01/2016 06:00:12 AM,01/01/2016 06:09:35 AM,N,1,-73.830467224121094,40.759483337402344,-73.805923461914062,40.760585784912109,1,1.62,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1,,
2,01/01/2016 06:07:01 AM,01/01/2016 06:09:43 AM,N,1,-73.858787536621094,40.756443023681641,-73.856132507324219,40.757049560546875,1,0.35,4,0,0.5,0,0,,0.3,4.8,2,1,,
1,01/01/2016 06:02:53 AM,01/01/2016 06:09:46 AM,N,1,-73.9561767578125,40.721424102783203,-73.962486267089844,40.712680816650391,1,1,6.5,0.5,0.5,2,0,,0.3,9.8,1,1,,
